school_name,school_code
GOVT [SW] GIRLS HOSTEL NO.1 - MADANAPALLE [SPL],1106-2402-005
"APTWRS(G),GORANTLA",28224801952
"Govt. SW Boys Hostel No.2, Pathikonda",0913-2402-002
"GOVT BC GIRLS HOSTEL, GONEGANDLA",0914-2503-004
"SWBH.NO.2, VENKATAGIRI",0810-2402-003
"SW BOYS HOSTEL, DHARMAJI GUDEM",0405-2402-008
Govt SW COLLEGE BOYS HOSTEL Kadapa,1201-2402-025
"GOVT SW BOYS HOSTEL, Y.D.PADU",0709-2402-002
GOVT [SW] BOYS HOSTEL - PALLAM,1114-2402-008
SW COLLEGE GIRLS HOSTEL NO 3 RAJAHMUNDRY,0312-2402-017
"EMRS(CO-EDU),B.N.KHANDRIGA",28231601515
GTW PM COLLEGE HOSTEL(BOYS) VISAKHAPATNAM-3,0201-2403-013
"APTWRS(G),K.V.PALLI",28230900917
KGBV PAMIDI,28221202031
GOVT BC BOYS HOSTEL BANDI ATMAKUR,0912-2503-005
"S.W.B.H., VATSAVAI",0507-2402-003
GTW PM COLLEGE HOSTEL(BOYS) KAPARADA VISAKHAPATNAM-1,0201-2403-009
S.W.COLLEGE BOYS HOSTEL I HEYER HALL COMPOUND,0601-2402-025
KGBV KUDAIR,28221400909
